feature,importance_mean,importance_std
glucose_mg_dl,0.11281970700217034,0.00628399767841542
fasting_glucose_mg_dl,0.10253921429960415,0.0063821036930027455
global_vasoreactivity,0.09887176535734532,0.005405684622942098
daytime_sbp,0.0903388271225383,0.0059053738657345424
perfusion_whole_brain_baseline_whole,0.07532854057160718,0.00591288313082645
ldl_calc_mg_dl,0.07430002750299272,0.005417520169502373
wmh_registered,0.06794831046352498,0.006158182072593271
wmh_registered_masked,0.06730150990209723,0.005061129741586233
mass_kg,0.06580646890040714,0.004480846712350766
svcam_ng_ml,0.06318333459027403,0.004763313798484009
perfusion_lepto_pca_baseline_whole,0.0619416447956699,0.006025425019174199
nighttime_sbp,0.061801400863671765,0.0042648430349566235
hba1c_percent,0.03714189167232142,0.003890855299415267
diabetes_duration,0.02067735695577557,0.002386740171942244
